Location;1990;2000;2010;2020;2030;2040;2050
Democratic People's Republic of Korea;21176.96629542119;26961.2239216949;34155.21880929221;37129.98461765739;44465.97524872765;51969.5369298515;57469.070833380414
Portugal;22145.584680734457;25807.81800734246;28736.058652752665;30435.599405103814;33979.77880951511;38581.11400959064;42310.53271051104
Paraguay;1947.4926233719916;3315.981666808032;4817.892898155835;6333.703705833599;8723.734805598246;11946.917053713993;15482.571798237606
Palestine;1090.378800543472;1417.8460982881943;1948.476857050551;2434.143186112735;3675.7685066900344;5744.218073379512;8558.40739621979
Qatar;140.6716668508988;234.01120673613443;490.2021520062675;738.22612540974;2198.5108252813316;5371.223715849521;11440.99934057046
Romania;34552.954409657286;41401.19727702019;49122.57204785258;53699.821314419496;57570.660978956796;60275.95322683423;60545.35579102022
Russian Federation;289589.0154747997;310677.38848773745;298741.65245673765;309693.66007611353;351929.3219989841;390882.23829624004;413317.59661077213
Rwanda;5247.215592483608;5243.917766227068;5002.818676666401;7375.362308458489;10770.883321686637;16033.296334737153;23855.190354421142
Saudi Arabia;3744.807236646452;5879.589340382852;8283.550033599888;11780.598304035875;22603.013544798418;39497.81703067629;61508.71232396157
Senegal;2871.2349755728915;3390.111243279068;5143.813688929837;7163.680193411324;9549.543744348979;13914.29366954893;20523.641134483387
  Singapore;3100.508566619177;3761.9655002211775;4633.081090046408;6435.387141934171;9734.891258408035;14632.647818925394;19731.060127162546
Solomon Islands;150.84615141821064;209.63657842992063;272.0717851161646;395.6937223112645;509.9014473995035;673.4844434190783;879.7475126603671
Sierra Leone;1753.7332402938332;1830.0069922777247;2397.2142280927333;3186.5678744081374;4282.9467448454225;6201.56223701104;9207.921150370361
El Salvador;2718.5389070432275;3869.930644282919;4622.871471442875;5996.943371902504;7055.133671320578;8534.6995568327;10088.230661870277
San Marino;65.2428109470735;83.01831102724654;96.60423149437165;74.73892588838366;93.98198365261541;115.70390123712224;132.19148096030128
Somalia;3888.628598948304;5258.665313055901;6955.871011074536;8627.232680863892;11596.943165364799;16525.80410879316;23559.040094280375
Serbia;19312.22670879328;23517.64590312179;25661.87526035036;27298.9666497824;28466.72567157726;31190.86891087143;33015.79498938837
South Sudan;3300.12875701094;3351.7190414013417;3774.048878081975;5134.77647436649;6883.707629285966;9673.346737682718;13556.64120744351
Sao Tome and Principe;55.519493408787454;67.81611625258816;81.44404423399972;106.1453055343758;142.63233859658206;205.0597240431391;284.2490094592394
Suriname;289.8527234479873;377.5266700827357;523.4411960754126;714.8412365539513;854.7173532901409;1106.1267018287012;1340.896802664869
Slovakia;11462.361427421472;11866.788126633344;12766.17948861444;14039.090170790012;16827.385398144568;19719.45051678472;21392.49086657876
Slovenia;4143.744358875719;4960.577154184931;5640.91453608657;6204.998521809894;7047.705687764567;8252.620365613795;8920.663336740705
Sweden;21796.145557057214;23439.899317973373;23626.29767512222;25714.96800430141;30599.985226430737;35185.31898977079;39435.86566736869
Eswatini;421.193731995723;818.382974346751;1080.2680648340458;1087.929952589586;1239.3354342287435;1655.3340343188065;2207.3367857372104
Seychelles;86.41376651778874;104.95906241076746;130.29828761821466;153.19910699846488;210.48369479972803;288.92163659631086;362.4706586559882
Syrian Arab Republic;4293.578753116276;5636.228016169989;7140.484285607158;8582.072854734777;10920.39665438324;14068.689615338311;16994.453604576665
Chad;2231.0665752977834;3061.051586838921;4226.7877421334415;5677.83157052399;7685.299470558395;11386.323584208327;17879.3768732302
Togo;1045.2537661978545;1514.8219525822756;2370.1426535130727;3423.2713568658323;4904.296344574772;7231.960041512631;10411.499937128134
Thailand;49259.33698279385;72906.32066573178;92331.96444844212;122442.22898513085;155415.3675523437;189755.5437956942;213044.91452829065
Tajikistan;3450.48890039331;3154.768523746339;3637.282764195797;4352.260630622766;6197.067520472039;8529.117073554069;11079.082369845051
Tokelau;1.5470735132944833;1.607709013571087;1.5833810822102388;1.714673273549935;1.977958445427897;2.385553074843;2.86813483914952
Turkmenistan;2623.535886951398;2161.0897225394315;2631.702330361967;3603.301616599145;4526.854277377343;5663.3919594867475;6895.502989868725
Timor-Leste;241.9902386011764;306.0389875786791;445.1164282563819;663.6427723970634;887.8533434473209;1179.167197816254;1620.579488606932
Tonga;83.70588484655006;110.72420845204836;116.99899716107346;123.82396536447158;142.59796029794924;175.83632951576135;217.30751178813762
Trinidad and Tobago;1115.6132271619597;1382.8363653817732;1653.93920712304;2165.814998485584;2520.1377669294943;3017.103386083805;3336.9335456599924
Tunisia;4056.754852465601;5925.354551110295;7340.3121218876895;9526.834851027896;12698.571203880123;17066.969073030286;21231.672450570437
Turkey;58618.2745320554;66702.68433047029;84958.5817403825;112170.86618571632;146457.06351553104;196481.8086069015;247783.13916912343
Tuvalu;7.976854974717131;9.087608264833603;10.108764275895682;11.57202461861373;14.121735451062811;17.181442691893142;20.91047693239094
Taiwan (Province of China);20897.0262933721;34394.5870436816;45767.64959968398;53653.98914600802;71512.47916404222;90911.09166155194;101157.15140159597
United Republic of Tanzania;14673.601805421771;18254.711087239837;22471.305698112723;29570.658293170814;41750.710623980194;60888.7204392565;88940.68100245725
Uganda;9616.886452691564;14762.577589502063;16781.410327086607;23534.422128530416;33924.664805793764;52680.75456314771;82517.95792273867
Ukraine;112848.5481266596;111045.59528944956;88317.78141120769;82108.11623988298;88345.42499079894;93405.31024642312;93899.64540303756
Uruguay;7843.847798401411;8786.834170597496;9098.10607776871;9647.212067875733;11025.106637228457;12460.31460887783;13885.417714541603
United States of America;545233.0068415917;603139.8496878692;636362.6483840126;696141.3134325402;879786.471087427;1041481.0560496962;1108352.6864390573
Uzbekistan;12264.941292135558;11945.038936361285;12242.088575043954;17803.52192981502;24240.742852004507;31873.935086170375;39703.35306588718
Saint Vincent and the Grenadines;109.35231903696685;130.8155282523073;156.72252428539693;202.52308893280565;245.13088915718967;300.6815642766324;341.1524048395919
Venezuela (Bolivarian Republic of);12326.074113557446;17495.869011395505;23285.14079302174;33336.46533042112;38613.9649047333;46257.9378295104;52393.2964526501
United States Virgin Islands;115.85901078102812;163.1498818716205;171.85421657115722;170.06573790531158;220.58608394912443;266.79795577785205;283.2270031267923
Viet Nam;41230.84304949151;53032.08868887419;69302.18373885739;96820.10833942636;138382.21938674524;189915.8718121794;243863.5842746819
Vanuatu;61.078531156609024;85.98475386315967;119.92020702923544;168.0919266527357;219.35883317661384;293.92221923755966;391.3912636059356
Samoa;81.38555190281586;94.70380295208832;108.61181647277436;130.946042638627;158.75884682992688;197.10372446828666;241.82553394181647
Yemen;4478.332861065617;5767.591673774331;8068.313689058426;11470.024082978418;15891.539023573514;24000.17399868653;36239.96461990685
South Africa;23975.19847163585;38933.23316381351;51203.65519760628;60660.4288906088;75953.61595769727;100546.7722913483;127708.19885031552
Zambia;4546.399525959974;6009.307541698936;7653.526622157943;11669.086967264802;16245.763507247848;25007.767027081234;38079.2560832459
Zimbabwe;5746.992517695647;9618.29471706405;11999.478054570223;14047.630914745556;16698.982285963008;22110.505964583044;29844.283386647374
Egypt;20362.37511939727;26674.872736724363;46367.5669729328;60610.22871391969;85452.87343225662;121970.74028128127;167645.89950680282
Sudan;8242.673763760606;9969.123292534296;12196.573023653717;15870.899477527902;21707.082490833563;31865.577772183926;46010.54963259447
China;1529117.009496546;1856586.859223203;2210958.359219008;2745713.466983708;3435342.4156047693;4303240.619133951;5023534.77723668
;;;;;;;
Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2019. Seattle, WA: IHME, University of Washington, 2020. Available from http://vizhub.healthdata.org/gbd-compare. (Accessed 7/13/2025). For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions;;;;;;;
